symbol,clock,band,value,ci_low,ci_high,se,se_median,n_obs,n_dates,mde,band_label,band_label_detected
BNBUSDT,H1,DESIGN,0.3303549273603148,0.24856585102101694,0.3900635087719008,0.035609815662881635,0.03147653335481115,2328,99,0.15075567228888181,UNPOWERED,SUPPORTED
BTCUSDT,H1,DESIGN,0.41445493558062196,0.32660317673030936,0.4785189726164177,0.03723386829929185,0.03610542954233252,2433,102,0.14852213144650114,UNPOWERED,SUPPORTED
DOGEUSDT,H1,DESIGN,0.24361783609041937,0.18375281264290555,0.29547576493968614,0.028300356693207074,0.02582114416818499,2217,93,0.1555427542095638,UNPOWERED,SUPPORTED
DYDXUSDT,H1,DESIGN,0.17857855391559796,0.07266816267393716,0.24022198912517273,0.04212815274508389,0.03582714728823015,1480,91,0.15724272550828775,UNPOWERED,SUPPORTED
ETHUSDT,H1,DESIGN,0.30956671733423186,0.2104652117010539,0.3761421568170877,0.041933883387127356,0.03719864427379615,2433,102,0.14852213144650114,UNPOWERED,SUPPORTED
GALAUSDT,H1,DESIGN,0.2948855860438268,0.1865820625083229,0.3651797095072622,0.045990016564220845,0.03590298341033891,2010,99,0.15075567228888181,UNPOWERED,SUPPORTED
INJUSDT,H1,DESIGN,0.1597212804994554,0.07984828786388233,0.21636104859472757,0.03218479763641057,0.029743644795633843,1212,85,0.16269784336399212,UNPOWERED,SUPPORTED
LINKUSDT,H1,DESIGN,0.25318656967307446,0.18477430297880304,0.3060871020635524,0.030504246652928682,0.02832417329317991,2364,103,0.14779939172464399,UNPOWERED,SUPPORTED
MATICUSDT,H1,DESIGN,0.40269572013228305,0.3343919877838313,0.45968844231708167,0.03152083525687266,0.024371389823620606,7852,329,0.0826976769629957,SUPPORTED,SUPPORTED
OPUSDT,H1,DESIGN,0.32486978591792465,0.23194982785831744,0.390991581274492,0.04066106278983709,0.03479834439197339,2358,101,0.14925557853149837,UNPOWERED,SUPPORTED
SOLUSDT,H1,DESIGN,0.2829042611097797,0.20963432039495414,0.34394296260211604,0.03330602748639554,0.032677027133509805,2442,102,0.14852213144650114,UNPOWERED,SUPPORTED
XRPUSDT,H1,DESIGN,0.295891304469716,0.2331240131086563,0.35075592078668677,0.02977216303564608,0.02855828891498153,2426,102,0.14852213144650114,UNPOWERED,SUPPORTED
1000LUNCUSDT,H4,DESIGN,0.09682831216061612,-0.031034576566910662,0.2147633628856653,0.061737599461761154,0.0599600321785661,251,61,0.19205531989934396,UNPOWERED,UNPOWERED
ADAUSDT,H4,DESIGN,0.21781434691130275,0.12377600901309922,0.2972561716314135,0.04334041864448942,0.040587688671418196,597,103,0.14779939172464399,UNPOWERED,SUPPORTED
AVAXUSDT,H4,DESIGN,0.17346143820479687,0.08869217352991283,0.2538383888627831,0.04171066014529736,0.039771439435811316,555,102,0.14852213144650114,UNPOWERED,SUPPORTED
BNBUSDT,H4,DESIGN,0.2590177620538855,0.14677298894481935,0.3386440968265567,0.04909023555519384,0.041229445969948306,587,100,0.15,UNPOWERED,SUPPORTED
BTCUSDT,H4,DESIGN,0.30583978048426186,0.17874906633366328,0.39084095220654863,0.05384631605893935,0.04599142996454936,608,102,0.14852213144650114,UNPOWERED,SUPPORTED
DOGEUSDT,H4,DESIGN,0.20160665260698765,0.11536790791581568,0.2805807541523849,0.04203590782455251,0.03865800302089689,554,93,0.1555427542095638,UNPOWERED,SUPPORTED
DYDXUSDT,H4,DESIGN,-0.005724786043657373,-0.140544734230691,0.09516841686584589,0.05748644617225176,0.056472418309206254,362,83,0.1646463899845355,UNPOWERED,UNPOWERED
ETHUSDT,H4,DESIGN,0.19794547844322347,0.05448420934604629,0.29766215001832286,0.061476887747829244,0.05142256886245734,608,102,0.14852213144650114,UNPOWERED,SUPPORTED
GALAUSDT,H4,DESIGN,0.25054531394629503,0.10264078597644564,0.3418893057666955,0.06086373644235977,0.04668349502062576,504,96,0.15309310892394865,UNPOWERED,SUPPORTED
INJUSDT,H4,DESIGN,-0.004244981923762311,-0.1553257119030379,0.13091235285762495,0.06783282165299445,0.06616071816079877,293,65,0.1860521018838127,UNPOWERED,UNPOWERED
LINKUSDT,H4,DESIGN,0.16109697528794434,0.030640444077262314,0.2526150037214918,0.05673628178657621,0.04873574793106796,592,102,0.14852213144650114,UNPOWERED,SUPPORTED
MATICUSDT,H4,DESIGN,0.35474752606135734,0.26827595553275774,0.4260547407174715,0.03998865934880811,0.03157538517606541,1968,330,0.08257228238447704,SUPPORTED,SUPPORTED
OPUSDT,H4,DESIGN,0.24814019511843086,0.11172581432978312,0.34908008506079624,0.06037626288768321,0.050808559329184766,591,101,0.14925557853149837,UNPOWERED,SUPPORTED
SOLUSDT,H4,DESIGN,0.2607904422761928,0.16926075892073075,0.34289345593251574,0.043419785936334124,0.04187232333934632,611,103,0.14779939172464399,UNPOWERED,SUPPORTED
XRPUSDT,H4,DESIGN,0.17197646116695223,0.0568562944647258,0.2675259565845129,0.05231686713550152,0.050953167312297876,606,102,0.14852213144650114,UNPOWERED,SUPPORTED
